City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,faanui,PF,80.49,-16.4833,-151.75,overcast clouds,Oa Oa Lodge
4,rikitea,PF,78.69,-23.1203,-134.9692,broken clouds,Chez Bianca & Benoit
6,vaini,TO,87.96,-21.2,-175.2,broken clouds,Keleti International Resort
9,atuona,PF,78.67,-9.8,-139.0333,clear sky,Pearl Resort
13,kapaa,US,80.11,22.0752,-159.319,clear sky,Pono Kai Resort
14,esperance,AU,83.82,-33.8667,121.9,broken clouds,Hospitality
15,itarema,BR,78.46,-2.9248,-39.9167,broken clouds,Pousada Oásis
22,nishihara,JP,70.88,26.1842,127.7558,scattered clouds,ユインチホテル南城
27,celestun,MX,73.56,20.8667,-90.4,few clouds,Hotel Flamingo Playa
29,san ignacio,BZ,71.74,17.1561,-89.0714,light rain,Rainforest Haven Inn
30,lazaro cardenas,MX,73.78,17.9583,-102.2,clear sky,Hotel Sol del Pacífico
32,tabou,CI,77.88,4.423,-7.3528,broken clouds,hôtel le rochet
44,soubre,CI,71.73,5.7856,-6.6083,broken clouds,Hôtel Campement
46,kloulklubed,PW,81.32,7.0419,134.2556,light rain,The Adventures Inn
48,hobart,AU,73.27,-42.8794,147.3294,scattered clouds,Vibe Hotel Hobart
49,neuquen,AR,85.89,-38.9516,-68.0591,clear sky,Hotel Argentina 307
51,beruwala,LK,75.7,6.4788,79.9828,clear sky,Villa@113
54,ilhabela,BR,72.28,-23.7781,-45.3581,light rain,Vila Kebaya
57,banda aceh,ID,80.04,5.5577,95.3222,scattered clouds,Hotel 61
59,bengkulu,ID,81.41,-3.8004,102.2655,broken clouds,Dena Hotel
61,denpasar,ID,89.26,-8.65,115.2167,scattered clouds,Hotel Candra Adiguna
64,hilo,US,87.28,19.7297,-155.09,clear sky,Dolphin Bay Hotel
66,caravelas,BR,75.16,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
67,souillac,MU,71.98,-20.5167,57.5167,light intensity shower rain,Hotel SkylineInn
70,axim,GH,78.22,4.8699,-2.2405,broken clouds,Axim Beach Hotel
71,kavieng,PG,84.02,-2.5744,150.7967,few clouds,Kavieng Hotel
72,sibu,MY,79.11,2.3,111.8167,scattered clouds,The Paramount Hotel
74,hithadhoo,MV,80.51,-0.6,73.0833,overcast clouds,Pebbles Inn
83,puerto ayora,EC,71.55,-0.7393,-90.3518,broken clouds,Hostal La Mirada De Solitario George
89,hambantota,LK,73.74,6.1241,81.1185,few clouds,Oasis Aurweda Resort Hambathota
90,new norfolk,AU,72.91,-42.7826,147.0587,broken clouds,Woodbridge on the Derwent
92,sao filipe,CV,73.78,14.8961,-24.4956,broken clouds,Bela Vista
93,cidreira,BR,71.87,-30.1811,-50.2056,broken clouds,Hotel Castelo
96,nabire,ID,87.53,-3.3667,135.4833,scattered clouds,Hotel Anggrek
98,san andres,CO,80.62,12.5847,-81.7006,light rain,Hotel Decameron Isleño
102,san pedro de ycuamandiyu,PY,71.91,-24.0917,-57.0764,scattered clouds,Hotel Santa Ana
104,port blair,IN,82.44,11.6667,92.75,few clouds,Andaman Ocean Breeze
111,bouna,CI,71.55,9.2667,-3.0,broken clouds,Hôtel Éléphant  Bouna
125,namatanai,PG,83.89,-3.6667,152.4333,broken clouds,Namatanai Hotel
126,port hedland,AU,89.65,-20.3167,118.5667,clear sky,The Esplanade Hotel
131,georgetown,MY,84.13,5.4112,100.3354,light rain,Page 63 hostel
135,cabo san lucas,MX,71.51,22.8909,-109.9124,clear sky,Comfort Rooms
144,kahului,US,78.84,20.8947,-156.47,few clouds,Maui Seaside Hotel
145,fare,PF,80.26,-16.7,-151.0167,light rain,hôtel Maitai Lapita Village
148,padang,ID,82.45,-0.9492,100.3543,overcast clouds,losmen Surya
163,cairns,AU,84.15,-16.9167,145.7667,broken clouds,Cairns Queens Court Accommodation
169,omboue,GA,74.19,-1.5746,9.2618,light rain,Georges Faustin Aurat
