City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,biak,ID,-0.9131,122.8766,81.43,71,100,3.56,overcast clouds
1,rikitea,PF,-23.1203,-134.9692,78.73,77,84,14.65,broken clouds
2,bredasdorp,ZA,-34.5322,20.0403,72.84,63,100,5.55,overcast clouds
3,rawson,AR,-43.3002,-65.1023,61.05,89,100,8.95,light rain
4,whitehorse,CA,60.7161,-135.0538,7.57,85,75,16.11,broken clouds
5,dikson,RU,73.5069,80.5464,-24.12,98,100,5.97,overcast clouds
6,bathurst,AU,-33.4166,149.5806,92.71,38,59,5.7,broken clouds
7,punta arenas,CL,-53.15,-70.9167,44.71,93,40,6.91,scattered clouds
8,ixtapa,MX,20.7,-105.2,69.22,84,1,1.01,clear sky
9,salalah,OM,17.0151,54.0924,78.89,61,0,2.3,clear sky
10,avarua,CK,-21.2078,-159.775,78.85,94,100,5.75,light rain
11,albany,US,42.6001,-73.9662,23.72,75,18,4.07,few clouds
12,batagay-alyta,RU,67.8006,130.4114,-36.44,99,95,1.52,overcast clouds
13,georgetown,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
14,osmena,PH,10.5208,119.9258,80.26,76,100,5.77,moderate rain
15,westport,US,41.1415,-73.3579,37.56,63,100,8.05,overcast clouds
16,mehamn,NO,71.0357,27.8492,26.55,74,0,13.8,clear sky
17,cape town,ZA,-33.9258,18.4232,74.12,67,0,4.61,clear sky
18,taltal,CL,-25.4,-70.4833,67.1,80,12,1.74,few clouds
19,along,IN,28.1667,94.7667,74.88,28,0,1.97,clear sky
20,atuona,PF,-9.8,-139.0333,78.49,75,14,13.35,few clouds
21,iqaluit,CA,63.7506,-68.5145,-20.47,76,0,13.8,clear sky
22,alofi,NU,-19.0595,-169.9187,76.89,94,100,8.05,overcast clouds
23,bushehr,IR,28.9684,50.8385,55.49,82,40,13.8,mist
24,mount isa,AU,-20.7333,139.5,92.97,49,40,8.05,scattered clouds
25,bluff,NZ,-46.6,168.3333,56.62,72,92,1.92,overcast clouds
26,ushuaia,AR,-54.8,-68.3,47.86,87,75,11.5,broken clouds
27,jalu,LY,29.0331,21.5482,56.97,72,1,11.34,clear sky
28,hermanus,ZA,-34.4187,19.2345,76.8,66,81,1.72,broken clouds
29,hovd,MN,48.0056,91.6419,26.38,45,2,11.86,clear sky
30,radomsko,PL,51.0671,19.4448,37.51,93,100,7.07,overcast clouds
31,saskylakh,RU,71.9167,114.0833,-50.55,100,95,2.73,overcast clouds
32,tutoia,BR,-2.7619,-42.2744,79.61,76,62,12.26,broken clouds
33,codrington,AU,-38.2667,141.9667,70.72,61,100,11.25,overcast clouds
34,sarangani,PH,5.4033,125.4636,80.29,82,100,20.69,overcast clouds
35,talnakh,RU,69.4865,88.3972,-22.11,98,100,5.08,overcast clouds
36,hokitika,NZ,-42.7167,170.9667,69.35,74,3,5.55,clear sky
37,chimichagua,CO,9.2578,-73.8123,71.6,98,95,1.14,overcast clouds
38,praia da vitoria,PT,38.7333,-27.0667,58.75,82,75,13.4,broken clouds
39,new norfolk,AU,-42.7826,147.0587,81.91,30,93,1.99,overcast clouds
40,ust-kuyga,RU,70.0167,135.6,-57.33,100,99,5.46,overcast clouds
41,conakry,GN,9.538,-13.6773,73.47,83,2,2.3,mist
42,ust-maya,RU,60.4167,134.5333,-26.41,100,99,0.27,overcast clouds
43,cap malheureux,MU,-19.9842,57.6142,82.47,67,7,8.99,clear sky
44,leningradskiy,RU,69.3833,178.4167,-19.77,97,48,8.32,scattered clouds
45,victoria,HK,22.2855,114.1577,69.85,85,100,1.01,overcast clouds
46,saint-pierre,RE,-21.3393,55.4781,85.91,62,0,10.36,light rain
47,vao,NC,-22.6667,167.4833,76.59,65,14,12.53,few clouds
48,airai,TL,-8.9266,125.4092,67.24,83,89,2.66,moderate rain
